,election,cycle,fecyear,bonica.rid,bonica.cid,name,lname,ffname,fname,mname,title,suffix,party,state,seat,district,distcyc,ico.status,cand.gender,recipient.cfscore,recipient.cfscore.dyn,contributor.cfscore,dwdime,dwnom1,dwnom2,ps.dwnom1,ps.dwnom2,irt.cfscore,num.givers,num.givers.total,total.receipts,total.disbursements,total.indiv.contribs,total.unitemized,total.pac.contribs,total.party.contribs,total.contribs.from.candidate,ind.exp.support,ind.exp.oppose,prim.vote.pct,pwinner,gen.vote.pct,gwinner,s.elec.stat,r.elec.stat,district.pres.vs,fec.cand.status,recipient.type,igcat,comtype,ICPSR,ICPSR2,Cand.ID,FEC.ID,NID,before.switch.ICPSR,after.switch.ICPSR,party.orig,nimsp.party,nimsp.candidate.ICO.code,nimsp.district,nimsp.office,nimsp.candidate.status
66694,fd2022,2022,2022.0,comm69042535,,vote for nyc's future inc.,,,,,,,328,NY,federal:527,,,,,0.003,0.003,,,,,,,,21,21,,,,,,,,,,,,,,,,,,comm,,,527o:8625770962004,527o:862577096,527o:862577096,527o:862577096,,,,,,,,,
66695,fd2022,2022,2022.0,comm69042234,,state victory action,,,,,,,328,NC,federal:527,,,,,-1.191,,,,,,,,,2,26,,,,,,,,,,,,,,,,,,comm,,,527o:8244229862002,527o:824422986,527o:824422986,527o:824422986,,,,,,,,,
66696,fd2022,2022,2022.0,comm69042198,,the impact fund,,,,,,,328,DC,federal:527,,,,,-1.091,-1.264,,,,,,,,3,28,,,,,,,,,,,,,,,,,,comm,,,527o:8233710482004,527o:823371048,527o:823371048,527o:823371048,,,,,,,,,
66697,fd2022,2022,2022.0,comm69042084,,"american federation for children action fund, inc.",,,,,,,328,DC,federal:527,,,,,1.108,1.203,,,,,,,,2,5,,,,,,,,,,,,,,,,,,comm,,,527o:2716873202010,527o:271687320,527o:271687320,527o:271687320,,,,,,,,,
66698,fd2022,2022,2022.0,comm69042534,,future forward nyc inc.,,,,,,,328,NY,federal:527,,,,,-0.608,-0.608,,,,,,,,20,20,,,,,,,,,,,,,,,,,,comm,,,527o:8624747342010,527o:862474734,527o:862474734,527o:862474734,,,,,,,,,
66699,fd2022,2022,2022.0,comm69042195,,the arena 527,,,,,,,328,DC,federal:527,,,,,-1.231,-1.26,,,,,,,,304,813,,,,,,,,,,,,,,,,,,comm,,,527o:8232765022004,527o:823276502,527o:823276502,527o:823276502,,,,,,,,,
66700,fd2022,2022,2022.0,comm69042356,,a better delaware,,,,,,,328,DE,federal:527,,,,,0.992,1.255,,,,,,,,3,17,,,,,,,,,,,,,,,,,,comm,,,527o:8343247802008,527o:834324780,527o:834324780,527o:834324780,,,,,,,,,
66701,fd2022,2022,2022.0,comm69042282,,forward majority action 527,,,,,,,328,DC,federal:527,,,,,-1.23,-1.378,,,,,,,,3,231,,,,,,,,,,,,,,,,,,comm,,,527o:8306111042004,527o:830611104,527o:830611104,527o:830611104,,,,,,,,,
66702,fd2022,2022,2022.0,comm69042512,,delaine eastin for cdp chair,,,,,,,328,CA,federal:527,,,,,-0.86,-0.445,,,,,,,,18,51,,,,,,,,,,,,,,,,,,comm,,,527o:8540068492008,527o:854006849,527o:854006849,527o:854006849,,,,,,,,,
66703,fd2022,2022,2022.0,comm69042279,,justice for all - michigan,,,,,,,328,MI,federal:527,,,,,-1.042,,,,,,,,,1,49,,,,,,,,,,,,,,,,,,comm,,,527o:8254716552008,527o:825471655,527o:825471655,527o:825471655,,,,,,,,,
66704,fd2022,2022,2022.0,comm69042441,,legal defense fund of jason o'donnell,,,,,,,328,NJ,federal:527,,,,,-1.416,-1.368,,,,,,,,3,9,,,,,,,,,,,,,,,,,,comm,,,527o:8446074372004,527o:844607437,527o:844607437,527o:844607437,,,,,,,,,
66705,fd2022,2022,2022.0,comm69042539,,every zip code counts,,,,,,,328,DC,federal:527,,,,,-1.201,-1.201,,,,,,,,13,13,,,,,,,,,,,,,,,,,,comm,,,527o:8627015702006,527o:862701570,527o:862701570,527o:862701570,,,,,,,,,
66706,fd2022,2022,2022.0,comm69042350,,jam for pa,,,,,,,328,PA,federal:527,,,,,1.199,1.181,,,,,,,,2,4,,,,,,,,,,,,,,,,,,comm,,,527o:8339407782006,527o:833940778,527o:833940778,527o:833940778,,,,,,,,,
66707,fd2022,2022,2022.0,comm69042171,,"hoosier women forward, inc. ",,,,,,,328,IN,federal:527,,,,,-0.776,-0.952,,,,,,,,79,286,,,,,,,,,,,,,,,,,,comm,,,527o:8224425712004,527o:822442571,527o:822442571,527o:822442571,,,,,,,,,
66708,fd2022,2022,2022.0,comm69042373,,square one politics 527,,,,,,,328,DC,federal:527,,,,,-1.35,-1.477,,,,,,,,3,12,,,,,,,,,,,,,,,,,,comm,,,527o:8419560952002,527o:841956095,527o:841956095,527o:841956095,,,,,,,,,
66709,fd2022,2022,2022.0,comm69042367,,rental housing alliance,,,,,,,328,NC,federal:527,,,,,-0.589,-0.432,,,,,,,,25,28,,,,,,,,,,,,,,,,,,comm,,,527o:8417534002008,527o:841753400,527o:841753400,527o:841753400,,,,,,,,,
66710,fd2022,2022,2022.0,comm69042555,,abq workers first,,,,,,,328,NM,federal:527,,,,,-1.222,-1.222,,,,,,,,14,14,,,,,,,,,,,,,,,,,,comm,,,527o:8724753232006,527o:872475323,527o:872475323,527o:872475323,,,,,,,,,
66711,fd2022,2022,2022.0,comm69042519,,"justice party, inc",,,,,,,328,UT,federal:527,,,,,-1.157,-1.157,,,,,,,,14,14,,,,,,,,,,,,,,,,,,comm,,,527o:8612396532008,527o:861239653,527o:861239653,527o:861239653,,,,,,,,,
66712,fd2022,2022,2022.0,comm69042081,,free speech pac,,,,,,,328,FL,federal:527,,,,,0.751,0.661,,,,,,,,2,4,,,,,,,,,,,,,,,,,,comm,,,527o:2632451682004,527o:263245168,527o:263245168,527o:263245168,,,,,,,,,
66713,fd2022,2022,2022.0,comm69042515,,"babst calland clements & zomnir pc, political action committee",,,,,,,328,PA,federal:527,,,,,-0.547,-0.547,,,,,,,,17,17,,,,,,,,,,,,,,,,,,comm,,,527o:8542819452006,527o:854281945,527o:854281945,527o:854281945,,,,,,,,,
66714,fd2022,2022,2022.0,comm69042487,,south carolina's conservative future,,,,,,,328,SC,federal:527,,,,,1.41,1.411,,,,,,,,8,38,,,,,,,,,,,,,,,,,,comm,,,527o:8522313932002,527o:852231393,527o:852231393,527o:852231393,,,,,,,,,
66715,fd2022,2022,2022.0,comm69042333,,rusty for chair,,,,,,,328,CA,federal:527,,,,,-0.999,-1.034,,,,,,,,32,161,,,,,,,,,,,,,,,,,,comm,,,527o:8331294522008,527o:833129452,527o:833129452,527o:833129452,,,,,,,,,
66716,fd2022,2022,2022.0,comm69042514,,april verrett for cdp controller,,,,,,,328,CA,federal:527,,,,,-1.156,-1.156,,,,,,,,23,23,,,,,,,,,,,,,,,,,,comm,,,527o:8542724782010,527o:854272478,527o:854272478,527o:854272478,,,,,,,,,
66717,fd2022,2022,2022.0,comm69042140,,"serve america movement, inc.",,,,,,,328,DC,federal:527,,,,,-0.522,-0.487,,,,,,,,51,297,,,,,,,,,,,,,,,,,,comm,,,527o:8211015752004,527o:821101575,527o:821101575,527o:821101575,,,,,,,,,
66718,fd2022,2022,2022.0,comm69042075,,citizens first,,,,,,,328,FL,federal:527,,,,,0.751,0.571,,,,,,,,1,4,,,,,,,,,,,,,,,,,,comm,,,527o:2017319552010,527o:201731955,527o:201731955,527o:201731955,,,,,,,,,
66719,fd2022,2022,2022.0,comm69042556,,nevada mining association political action committ,,,,,,,328,NV,federal:527,,,,,1.069,1.13,,,,,,,,34,47,,,,,,,,,,,,,,,,,,comm,,,527o:8801830632004,527o:880183063,527o:880183063,527o:880183063,,,,,,,,,
66720,fd2022,2022,2022.0,comm69042526,,californians for jobs and justice,,,,,,,328,DC,federal:527,,,,,-1.067,-1.067,,,,,,,,2,2,,,,,,,,,,,,,,,,,,comm,,,527o:8616048032010,527o:861604803,527o:861604803,527o:861604803,,,,,,,,,
66721,fd2022,2022,2022.0,comm69042073,,"new york state psychiatric political action committee, inc.",,,,,,,328,,federal:527,,,,,-0.921,-0.933,,,,,,,,46,89,,,,,,,,,,,,,,,,,,comm,,,527o:1131684882002,527o:113168488,527o:113168488,527o:113168488,,,,,,,,,
66722,fd2022,2022,2022.0,comm69042511,,tommy hicks for co-chairman,,,,,,,328,DC,federal:527,,,,,1.344,1.304,,,,,,,,6,24,,,,,,,,,,,,,,,,,,comm,,,527o:8539806692010,527o:853980669,527o:853980669,527o:853980669,,,,,,,,,
66723,fd2022,2022,2022.0,comm69042518,,meagher for judge committee,,,,,,,328,PA,federal:527,,,,,1.279,1.279,,,,,,,,16,16,,,,,,,,,,,,,,,,,,comm,,,527o:8612110712002,527o:861211071,527o:861211071,527o:861211071,,,,,,,,,
66724,fd2022,2022,2022.0,comm69042291,,anstine series,,,,,,,328,PA,federal:527,,,,,0.986,1.021,,,,,,,,8,141,,,,,,,,,,,,,,,,,,comm,,,527o:8310479622010,527o:831047962,527o:831047962,527o:831047962,,,,,,,,,
66725,fd2022,2022,2022.0,comm69042455,,great lakes justice fund,,,,,,,328,MI,federal:527,,,,,0.394,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,comm,,,527o:8449976172004,527o:844997617,527o:844997617,527o:844997617,,,,,,,,,
66726,fd2022,2022,2022.0,comm69042086,,"why i'm a democrat, inc",,,,,,,328,MA,federal:527,,,,,-1.313,-1.34,,,,,,,,2,3,,,,,,,,,,,,,,,,,,comm,,,527o:2745051352000,527o:274505135,527o:274505135,527o:274505135,,,,,,,,,
66727,fd2022,2022,2022.0,comm69042536,,"florida ground game, inc.",,,,,,,328,FL,federal:527,,,,,-0.345,-0.345,,,,,,,,73,73,,,,,,,,,,,,,,,,,,comm,,,527o:8626217852010,527o:862621785,527o:862621785,527o:862621785,,,,,,,,,
66728,fd2022,2022,2022.0,comm69042407,,kana crna pac,,,,,,,328,KS,federal:527,,,,,0.404,0.355,,,,,,,,51,113,,,,,,,,,,,,,,,,,,comm,,,527o:8432131772004,527o:843213177,527o:843213177,527o:843213177,,,,,,,,,
66729,fd2022,2022,2022.0,comm69042431,,"good government coalition, inc.",,,,,,,328,MD,federal:527,,,,,1.233,,,,,,,,,2,9,,,,,,,,,,,,,,,,,,comm,,,527o:8441970202006,527o:844197020,527o:844197020,527o:844197020,,,,,,,,,
66730,fd2022,2022,2022.0,comm69042371,,priorities now,,,,,,,328,IA,federal:527,,,,,0.19,-0.133,,,,,,,,2,16,,,,,,,,,,,,,,,,,,comm,,,527o:8418644902004,527o:841864490,527o:841864490,527o:841864490,,,,,,,,,
66731,fd2022,2022,2022.0,comm69042546,,wade herring for congress,,,,,,,328,GA,federal:527,,,,,-1.222,-1.222,,,,,,,,70,70,,,,,,,,,,,,,,,,,,comm,,,527o:8636811572010,527o:863681157,527o:863681157,527o:863681157,,,,,,,,,
66732,fd2022,2022,2022.0,comm69042537,,ufkaip inc,,,,,,,328,DC,federal:527,,,,,-1.307,-1.307,,,,,,,,379,379,,,,,,,,,,,,,,,,,,comm,,,527o:8626286632006,527o:862628663,527o:862628663,527o:862628663,,,,,,,,,
66733,fd2022,2022,2022.0,comm69042525,,david campos for cdp vice chair,,,,,,,328,CA,federal:527,,,,,-1.01,-1.01,,,,,,,,32,32,,,,,,,,,,,,,,,,,,comm,,,527o:8615545192004,527o:861554519,527o:861554519,527o:861554519,,,,,,,,,
66734,fd2022,2022,2022.0,comm69042543,,"power the vote, inc.",,,,,,,328,GA,federal:527,,,,,-1.423,-1.423,,,,,,,,36,36,,,,,,,,,,,,,,,,,,comm,,,527o:8632391062010,527o:863239106,527o:863239106,527o:863239106,,,,,,,,,
66735,fd2022,2022,2022.0,comm69042347,,change maryland action fund,,,,,,,328,MD,federal:527,,,,,0.563,0.294,,,,,,,,56,978,,,,,,,,,,,,,,,,,,comm,,,527o:8336107402004,527o:833610740,527o:833610740,527o:833610740,,,,,,,,,
66736,fd2022,2022,2022.0,comm69042145,,national sorghum producers political action committee,,,,,,,328,TX,federal:527,,,,,1.235,1.283,,,,,,,,43,219,,,,,,,,,,,,,,,,,,comm,,,527o:8214697652008,527o:821469765,527o:821469765,527o:821469765,,,,,,,,,
66737,fd2022,2022,2022.0,comm69042309,,tony cardenas legal expense trust,,,,,,,328,DC,federal:527,,,,,-0.568,-0.511,,,,,,,,47,89,,,,,,,,,,,,,,,,,,comm,,,527o:8316016502002,527o:831601650,527o:831601650,527o:831601650,,,,,,,,,
66738,fd2022,2022,2022.0,comm69042134,,stop gop governors pac,,,,,,,328,IL,federal:527,,,,,-1.497,-1.555,,,,,,,,21,278,,,,,,,,,,,,,,,,,,comm,,,527o:8154068142010,527o:815406814,527o:815406814,527o:815406814,,,,,,,,,
66739,fd2022,2022,2022.0,comm69042325,,laura cox for chair,,,,,,,328,MI,federal:527,,,,,1.306,,,,,,,,,3,29,,,,,,,,,,,,,,,,,,comm,,,527o:8324808902008,527o:832480890,527o:832480890,527o:832480890,,,,,,,,,
66740,fd2022,2022,2022.0,comm69042484,,tsb victory,,,,,,,328,CA,federal:527,,,,,-1.331,,,,,,,,,2,37,,,,,,,,,,,,,,,,,,comm,,,527o:8520591352006,527o:852059135,527o:852059135,527o:852059135,,,,,,,,,
66741,fd2022,2022,2022.0,comm69042528,,steve miller for congress,,,,,,,328,NC,federal:527,,,,,-1.59,-1.59,,,,,,,,4,4,,,,,,,,,,,,,,,,,,comm,,,527o:8619324122010,527o:861932412,527o:861932412,527o:861932412,,,,,,,,,
66742,fd2022,2022,2022.0,comm69042379,,montgomery county womens democratic club,,,,,,,328,MD,federal:527,,,,,-1.201,-1.378,,,,,,,,2,17,,,,,,,,,,,,,,,,,,comm,,,527o:8422641662008,527o:842264166,527o:842264166,527o:842264166,,,,,,,,,
66743,fd2022,2022,2022.0,comm69042085,,veterans in defense of liberty action committee,,,,,,,328,MO,federal:527,,,,,1.258,1.237,,,,,,,,335,3881,,,,,,,,,,,,,,,,,,comm,,,527o:2735947322010,527o:273594732,527o:273594732,527o:273594732,,,,,,,,,
66744,fd2022,2022,2022.0,comm69042324,,north carolinians for health care access inc,,,,,,,328,NC,federal:527,,,,,0.986,0.676,,,,,,,,30,85,,,,,,,,,,,,,,,,,,comm,,,527o:8323526442006,527o:832352644,527o:832352644,527o:832352644,,,,,,,,,
66745,fd2022,2022,2022.0,comm69042155,,frontiers of freedom action inc,,,,,,,328,VA,federal:527,,,,,1.317,1.213,,,,,,,,154,1433,,,,,,,,,,,,,,,,,,comm,,,527o:8219358042010,527o:821935804,527o:821935804,527o:821935804,,,,,,,,,
66746,fd2022,2022,2022.0,comm69042540,,eric ching for congress,,,,,,,328,CA,federal:527,,,,,0.521,0.521,,,,,,,,19,19,,,,,,,,,,,,,,,,,,comm,,,527o:8628025442006,527o:862802544,527o:862802544,527o:862802544,,,,,,,,,
66747,fd2022,2022,2022.0,comm69042550,,lewis combs for congress,,,,,,,328,VA,federal:527,,,,,-0.819,-0.819,,,,,,,,174,174,,,,,,,,,,,,,,,,,,comm,,,527o:8708536012010,527o:870853601,527o:870853601,527o:870853601,,,,,,,,,
66748,fd2022,2022,2022.0,comm69042530,,matt hinterlong for texas,,,,,,,328,TX,federal:527,,,,,-1.497,-1.497,,,,,,,,58,58,,,,,,,,,,,,,,,,,,comm,,,527o:8622481022006,527o:862248102,527o:862248102,527o:862248102,,,,,,,,,
